Country_Name,Week_Ending_Date,Net_Cash_Flow,Operating_Cash_Flow,Financing_Cash_Flow
ID,2025-01-05,-7287.13095,-7288.4106,0.0
ID,2025-01-12,-11488.45084,-10990.56054,0.0
ID,2025-01-19,-17737.45698,-17529.16706,0.0
ID,2025-01-26,-9078.43305,-9098.7523,0.0
ID,2025-02-02,-10682.43288,-11082.71006,0.0
ID,2025-02-09,-17695.42114,-17266.38491,0.0
ID,2025-02-16,-19014.71557,-17601.64606,0.0
ID,2025-02-23,-7069.00291,-7069.00291,0.0
ID,2025-03-02,-15308.061599999999,-15275.33566,0.0
ID,2025-03-09,-11743.40561,-11382.22119,0.0
ID,2025-03-16,-9886.997089999999,-9896.76562,0.0
ID,2025-03-23,-21413.53028,-20585.53912,0.0
ID,2025-03-30,-10343.65696,-11434.0667,0.0
ID,2025-04-06,-13054.38744,-13054.38744,0.0
ID,2025-04-13,-9835.76007,-9855.60421,0.0
ID,2025-04-20,-18663.30296,-17892.55352,0.0
ID,2025-04-27,-8335.0811,-8358.86829,0.0
ID,2025-05-04,-9247.21872,-9284.60325,0.0
ID,2025-05-11,-15582.3902,-15047.897289999999,0.0
ID,2025-05-18,-9963.12817,-9978.08283,0.0
ID,2025-05-25,-6309.27004,-6326.2456,0.0
ID,2025-06-01,-11958.36534,-11999.94367,0.0
ID,2025-06-08,-2967.2959,-2969.49562,0.0
ID,2025-06-15,-15266.22381,-15283.54851,0.0
ID,2025-06-22,-4769.29392,-4769.94936,0.0
ID,2025-06-29,-21986.55344,-21564.37344,0.0
ID,2025-07-06,-7373.93089,-5912.95075,0.0
ID,2025-07-13,-12329.53867,-12410.41499,0.0
ID,2025-07-20,-14346.15242,-14381.75411,0.0
ID,2025-07-27,-16552.442469999998,-15816.870499999999,0.0
ID,2025-08-03,-7914.30034,-7927.588299999999,0.0
ID,2025-08-10,-15718.06347,-15767.15157,0.0
ID,2025-08-17,-12515.31333,-12616.40171,0.0
ID,2025-08-24,-10660.39338,-10677.42002,0.0
ID,2025-08-31,-13687.83772,-13271.56302,0.0
ID,2025-09-07,-12945.5423,-11696.32648,0.0
ID,2025-09-14,-18550.45452,-18231.29491,0.0
ID,2025-09-21,-11398.50268,-11258.64286,0.0
ID,2025-09-28,-13568.86391,-13583.98561,0.0
ID,2025-10-05,-14601.42,-13784.95437,0.0
ID,2025-10-12,-13601.80282,-13512.08739,0.0
ID,2025-10-19,-13300.84675,-12469.56936,0.0
ID,2025-10-26,-18561.71174,-18159.85776,0.0
ID,2025-11-02,-9379.78894,-8460.55894,0.0
KR,2025-01-05,-11295.58924,-11667.05924,0.0
KR,2025-01-12,-18213.496329999998,-18185.75775,0.0
KR,2025-01-19,-13682.45082,-13718.25691,0.0
KR,2025-01-26,-14606.036830000001,-14606.55506,0.0
KR,2025-02-02,-1283.95395,-1908.0939500000002,0.0
KR,2025-02-09,-10257.08307,-10249.455030000001,0.0
KR,2025-02-16,-21669.60356,-22156.23113,0.0
KR,2025-02-23,-21064.29898,-21341.2779,0.0
KR,2025-03-02,-16811.21634,-17140.454,0.0
KR,2025-03-09,-11161.03798,-11180.67265,0.0
KR,2025-03-16,-13599.32509,-13566.90064,0.0
KR,2025-03-23,-22434.82644,-22433.18248,0.0
KR,2025-03-30,-8745.29958,-8802.15205,0.0
KR,2025-04-06,-17392.91106,-17398.46881,0.0
KR,2025-04-13,-7652.87271,-7647.21894,0.0
