Country,Method,RMSE_USD,MAE_USD,MAPE_percent,Train_Weeks,Validation_Weeks
ID,simple,3377.87,2870.53,23.53,40,4
ID,drift,3585.52,3058.07,25.82,40,4
ID,seasonal,4480.57,4266.37,33.31,40,4
ID,mean,3486.31,2785.52,20.08,40,4
KR,simple,16046.27,13978.89,81.76,40,4
KR,drift,16485.81,14389.42,86.83,40,4
KR,seasonal,5988.47,5258.07,37.86,40,4
KR,mean,8345.99,7682.54,370.54,40,4
MY,simple,2515.4,1877.61,29.39,40,4
MY,drift,2916.4,2023.33,32.65,40,4
MY,seasonal,2218.56,1506.11,23.91,40,4
MY,mean,1978.03,1877.61,24.35,40,4
PH,simple,5772.72,5110.71,55.62,40,4
PH,drift,6008.17,5235.05,57.44,40,4
PH,seasonal,8358.23,7174.37,74.42,40,4
PH,mean,3679.76,3332.65,32.08,40,4
SS,simple,1345.93,1014.07,51.75,40,4
SS,drift,1335.2,1006.66,52.94,40,4
SS,seasonal,1241.92,871.3,47.14,40,4
SS,mean,1083.11,926.69,83.4,40,4
TH,simple,2588.42,2022.5,25.8,40,4
TH,drift,2757.14,2125.1,28.77,40,4
TH,seasonal,3396.07,2802.24,34.01,40,4
TH,mean,2602.47,2022.5,26.47,40,4
TW,simple,13111.1,10226.95,34.45,40,4
TW,drift,13014.17,10194.12,34.57,40,4
TW,seasonal,8042.81,7190.83,27.52,40,4
TW,mean,9463.66,8609.36,38.9,40,4
VN,simple,5572.28,4392.14,48.87,40,4
VN,drift,5653.63,4392.14,50.23,40,4
VN,seasonal,8261.66,6506.44,59.5,40,4
VN,mean,6065.3,5349.65,45.75,40,4
