Date,Entity,Category,Amount_USD,Z_Score,Country,Week_Ending_Date
2025-05-26,VN20,Bank charges,8.41184,22.50779398579299,VN,2025-06-01
2025-05-26,VN20,Bank charges,-7.19776,-18.76993688691232,VN,2025-06-01
2025-05-09,TH10,Bank charges,-86.34,-13.377568821280631,TH,2025-05-11
2025-08-25,SS10,AP,-950.52,-12.637260381836919,SS,2025-08-31
2025-01-11,SS10,AP,-901.43,-11.969555330087276,SS,2025-01-12
2025-03-24,VN20,Bank charges,-4.59228,-11.880054876212736,VN,2025-03-30
2025-08-25,VN20,Bank charges,-4.54542,-11.756139178904991,VN,2025-08-31
2025-05-31,VN20,Bank charges,-4.54542,-11.756139178904991,VN,2025-06-01
2025-08-25,VN20,Bank charges,-4.54542,-11.756139178904991,VN,2025-08-31
2025-04-27,VN20,Bank charges,-4.49856,-11.632223481597247,VN,2025-04-27
2025-06-29,VN20,Bank charges,-4.4517,-11.508307784289501,VN,2025-06-29
2025-06-28,VN20,Bank charges,-4.40484,-11.384392086981757,VN,2025-06-29
2025-10-26,VN20,Bank charges,-4.35798,-11.260476389674013,VN,2025-10-26
2025-04-28,VN20,Bank charges,-4.35798,-11.260476389674013,VN,2025-05-04
2025-02-09,SS10,AP,-847.91,-11.241594964032258,SS,2025-02-09
2025-09-26,VN20,Bank charges,-4.31112,-11.136560692366267,VN,2025-09-28
2025-05-30,SS10,AP,-836.84,-11.091024686524241,SS,2025-06-01
2025-02-23,SS10,AP,-830.15,-11.000029640767364,SS,2025-02-23
2025-06-29,VN20,Bank charges,-4.2174,-10.888729297750778,VN,2025-06-29
2025-08-11,SS10,AP,-813.31,-10.770977836500427,SS,2025-08-17
2025-01-30,VN20,Bank charges,-4.17054,-10.764813600443034,VN,2025-02-02
2025-09-26,VN20,Bank charges,-4.12368,-10.64089790313529,VN,2025-09-28
2025-01-31,VN20,Bank charges,-4.07682,-10.516982205827542,VN,2025-02-02
2025-06-28,VN20,Bank charges,-4.07682,-10.516982205827542,VN,2025-06-29
2025-05-29,VN20,AR,314.21,10.398184129091806,VN,2025-06-01
2025-10-26,VN20,Bank charges,-3.9831,-10.269150811212054,VN,2025-10-26
2025-08-25,VN20,Bank charges,-3.93624,-10.14523511390431,VN,2025-08-31
2025-06-29,VN20,Bank charges,-3.93624,-10.14523511390431,VN,2025-06-29
2025-09-05,SS10,AP,-762.49,-10.079741928374192,SS,2025-09-07
2025-03-30,VN20,Bank charges,-3.88938,-10.021319416596565,VN,2025-03-30
2025-06-14,SS10,AP,-753.73,-9.960591464871914,SS,2025-06-15
2025-08-30,SS10,AP,-753.04,-9.951206325623446,SS,2025-08-31
2025-04-19,VN20,Bank charges,-3.84252,-9.89740371928882,VN,2025-04-20
2025-07-20,VN20,Bank charges,-3.84252,-9.89740371928882,VN,2025-07-20
2025-07-28,VN20,Bank charges,-3.84252,-9.89740371928882,VN,2025-08-03
2025-10-16,ID10,AP,-999.5,-9.853023077320172,ID,2025-10-19
2025-08-07,ID10,AP,-998.15,-9.83920997048843,ID,2025-08-10
2025-05-15,SS10,AP,-744.39,-9.83355204374049,SS,2025-05-18
2025-10-17,ID10,AP,-997.35,-9.83102442569925,ID,2025-10-19
2025-05-26,ID10,AP,-994.01,-9.796849776204422,ID,2025-06-01
2025-01-31,VN20,Bank charges,-3.79566,-9.773488021981075,VN,2025-02-02
2025-02-28,ID10,AP,-989.92,-9.755001178469737,ID,2025-03-02
2025-07-12,ID10,AP,-986.49,-9.719905655186125,ID,2025-07-13
2025-10-20,ID10,AP,-985.4,-9.708752850410866,ID,2025-10-26
2025-06-12,ID10,AP,-984.87,-9.703329926988035,ID,2025-06-15
2025-05-11,ID10,AP,-983.86,-9.692995676691694,ID,2025-05-11
