Country,Week_Ending_Date,Actual_Cash_Flow,Predicted_Cash_Flow,Prediction_Lower_95CI,Prediction_Upper_95CI,Error
ID,2025-10-12,-13601.80282,-12426.336015625,-26983.21893793003,2130.5469066800288,-1175.4668043750007
ID,2025-10-19,-13300.84675,-10513.760087890625,-25070.643010195654,4043.1228344144038,-2787.0866621093755
ID,2025-10-26,-18561.71174,-13024.45857421875,-27581.34149652378,1532.4243480862788,-5537.253165781249
ID,2025-11-02,-9379.78894,-18380.144609375,-32937.027531680025,-3823.2616870699694,9000.355669374998
KR,2025-10-12,-20908.66286,-9831.433855625,-30431.34225296533,10768.474541715328,-11077.229004375
KR,2025-10-19,-18209.94343,-15757.6731134375,-36357.58151077783,4842.235283902828,-2452.270316562499
KR,2025-10-26,-20502.86977,-11260.152605625,-31860.06100296533,9339.755791715328,-9242.717164375
KR,2025-11-02,-935.63669,-21208.2844415625,-41808.19283890283,-608.3760442221719,20272.6477515625
MY,2025-10-12,-10106.65378,-10768.109909746094,-19105.869856817033,-2430.3499626751545,661.4561297460932
MY,2025-10-19,-7329.2836,-7243.020310136719,-15580.780257207658,1094.7396369342205,-86.26328986328099
MY,2025-10-26,-10368.06258,-7305.539082261963,-15643.299029332902,1032.2208648089763,-3062.523497738037
MY,2025-11-02,-5634.97732,-6966.748615953369,-15304.508563024308,1371.01133111757,1331.7712959533692
PH,2025-10-12,-8338.76997,-10979.3459053125,-19863.036316756596,-2095.6554938684058,2640.5759353125013
PH,2025-10-19,-11727.80566,-11240.472614296876,-20124.16302574097,-2356.7822028527808,-487.3330457031243
PH,2025-10-26,-17057.69606,-11294.092159279786,-20177.78257072388,-2410.401747835691,-5763.603900720213
PH,2025-11-02,-8459.64974,-11225.029506691895,-20108.71991813599,-2341.3390952478003,2765.3797666918945
SS,2025-10-12,-3495.63006,-1574.1473693945313,-5004.3137677156255,1856.019028926563,-1921.4826906054686
SS,2025-10-19,-1291.26988,-2058.9987182714844,-5489.165116592579,1371.1676800496098,767.7288382714844
SS,2025-10-26,-1856.43861,-2470.882598886719,-5901.048997207813,959.2837994343754,614.4439888867189
SS,2025-11-02,-598.98635,-2671.2638244726563,-6101.4302227937505,758.9025738484379,2072.277474472656
TH,2025-10-12,-10513.36494,-10163.95630498047,-22763.689489843615,2435.7768798826764,-349.40863501953027
TH,2025-10-19,-9610.53075,-11909.59644169922,-24509.329626562365,690.1367431639264,2299.0656916992193
TH,2025-10-26,-12905.0041,-14455.71021123047,-27055.443396093615,-1855.9770263673236,1550.706111230469
TH,2025-11-02,-5717.82795,-8555.65845341797,-21155.391638281115,4044.0747314451764,2837.8305034179693
TW,2025-10-12,-28847.53228,-19159.056400156252,-41190.92072470818,2872.807924395671,-9688.475879843747
TW,2025-10-19,-18814.88896,-32837.81225953125,-54869.67658408318,-10805.94793497933,14022.923299531252
TW,2025-10-26,-37864.38998,-15421.081790781252,-37452.94611533318,6610.782533770671,-22443.308189218747
TW,2025-11-02,-13459.59754,-22474.253177500002,-44506.11750205193,-442.38885294807915,9014.655637500002
VN,2025-10-12,-13568.62369,-6737.174003124999,-19057.83016710492,5583.482160854923,-6831.449686875001
VN,2025-10-19,-15673.3025,-14014.14470625,-26334.80087022992,-1693.4885422700772,-1659.1577937500006
VN,2025-10-26,-21355.37938,-7786.112479687499,-20106.76864366742,4534.543684292423,-13569.2669003125
VN,2025-11-02,-5891.50573,-11681.66374921875,-24002.31991319867,638.9924147611728,5790.158019218749
