Week_Ending_Date,Predicted_Cash_Flow,Prediction_Lower_95CI,Prediction_Upper_95CI,Country,Target,Horizon
2025-11-09,-14293.01159625,-28491.9236251825,-94.09956731750026,ID,Net_Cash_Flow,1_month
2025-11-16,-15284.03375201172,-29482.945780944217,-1085.121723079219,ID,Net_Cash_Flow,1_month
2025-11-23,-11245.98394732422,-25444.895976256717,2952.928081608281,ID,Net_Cash_Flow,1_month
2025-11-30,-15416.04742388672,-29614.959452819217,-1217.135394954219,ID,Net_Cash_Flow,1_month
2025-11-09,-14293.01159625,-28491.9236251825,-94.09956731750026,ID,Net_Cash_Flow,6_month
2025-11-16,-15284.03375201172,-29482.945780944217,-1085.121723079219,ID,Net_Cash_Flow,6_month
2025-11-23,-11245.98394732422,-25444.895976256717,2952.928081608281,ID,Net_Cash_Flow,6_month
2025-11-30,-15416.04742388672,-29614.959452819217,-1217.135394954219,ID,Net_Cash_Flow,6_month
2025-12-07,-12009.230285214844,-26208.142314147342,2189.681743717656,ID,Net_Cash_Flow,6_month
2025-12-14,-15349.82476763672,-29548.736796569217,-1150.912738704219,ID,Net_Cash_Flow,6_month
2025-12-21,-11917.85064654297,-26116.762675475467,2281.061382389531,ID,Net_Cash_Flow,6_month
2025-12-28,-15247.867980527344,-29446.780009459842,-1048.955951594844,ID,Net_Cash_Flow,6_month
2026-01-04,-12760.24517779297,-26959.157206725467,1438.666851139531,ID,Net_Cash_Flow,6_month
2026-01-11,-16445.981750058592,-30644.893778991092,-2247.069721126092,ID,Net_Cash_Flow,6_month
2026-01-18,-11186.444640683592,-25385.356669616092,3012.467388248908,ID,Net_Cash_Flow,6_month
2026-01-25,-15185.957824277342,-29384.869853209842,-987.0457953448422,ID,Net_Cash_Flow,6_month
2026-02-01,-12723.492003964842,-26922.404032897342,1475.4200249676578,ID,Net_Cash_Flow,6_month
2026-02-08,-16406.094787167967,-30605.006816100467,-2207.182758235467,ID,Net_Cash_Flow,6_month
2026-02-15,-11146.557677792967,-25345.469706725467,3052.354351139533,ID,Net_Cash_Flow,6_month
2026-02-22,-15146.070861386717,-29344.982890319217,-947.1588324542172,ID,Net_Cash_Flow,6_month
2026-03-01,-12683.605041074217,-26882.517070006717,1515.3069878582828,ID,Net_Cash_Flow,6_month
2026-03-08,-16366.207824277342,-30565.119853209842,-2167.295795344842,ID,Net_Cash_Flow,6_month
2026-03-15,-11106.670714902342,-25305.582743834842,3092.241314030158,ID,Net_Cash_Flow,6_month
2026-03-22,-15106.183898496092,-29305.095927428592,-907.2718695635922,ID,Net_Cash_Flow,6_month
2026-03-29,-12643.718078183592,-26842.630107116092,1555.1939507489078,ID,Net_Cash_Flow,6_month
