Country,Week_Ending_Date,Actual_Cash_Flow,Predicted_Cash_Flow,Prediction_Lower_95CI,Prediction_Upper_95CI,Error
ID,2025-10-12,-13601.80282,-16186.848,-24849.925549220563,-7523.769763279439,2585.044836249999
ID,2025-10-19,-13300.84675,-14719.69,-23382.768322658063,-6056.612536716939,1418.8436796874994
ID,2025-10-26,-18561.71174,-16804.383,-25467.460705470563,-8141.304919529439,-1757.3289274999988
ID,2025-11-02,-9379.78894,-16919.92,-25582.997814845563,-8256.842028904439,7540.130981875
KR,2025-10-12,-20908.66286,-11136.543,-24251.207594829477,1978.1216573294769,-9772.11989125
KR,2025-10-19,-18209.94343,-14496.855,-27611.520094829477,-1382.1908426705231,-3713.0879612499994
KR,2025-10-26,-20502.86977,-10648.609,-23763.274001079477,2466.055251079477,-9854.260395000001
KR,2025-11-02,-935.63669,-15322.259,-28436.923415141977,-2207.594162983023,14386.6220990625
MY,2025-10-12,-10106.65378,-6761.524,-11806.955096755457,-1716.092754807043,-3345.1298542187506
MY,2025-10-19,-7329.2836,-9306.048,-14351.479022536707,-4260.616680588293,1976.7642515625002
MY,2025-10-26,-10368.06258,-8746.3545,-13791.785663161707,-3700.923321213293,-1621.7080878124998
MY,2025-11-02,-5634.97732,-6420.752,-11466.183124099207,-1375.320782150793,785.774633125
PH,2025-10-12,-8338.76997,-12179.666,-18403.869072705114,-5955.4629585448865,3840.8960456250006
PH,2025-10-19,-11727.80566,-14236.262,-20460.464775830114,-8012.0586616698865,2508.45605875
PH,2025-10-26,-17057.69606,-16163.302,-22387.504814892614,-9939.098700732386,-894.3943021874984
PH,2025-11-02,-8459.64974,-15067.392,-21291.594658642614,-8843.188544482386,6607.741861562499
SS,2025-10-12,-3495.63006,-1629.7723,-3874.1874485558196,614.6427708214446,-1865.8577211328125
SS,2025-10-19,-1291.26988,-1431.7246,-3676.139719063632,812.6905003136321,140.45472937499994
SS,2025-10-26,-1856.43861,-1336.7079,-3581.1229954308196,907.7072239464446,-519.7307242578124
SS,2025-11-02,-598.98635,-1635.5416,-3879.9567356651946,608.8734837120696,1036.5552759765624
TH,2025-10-12,-10513.36494,-11756.59,-19154.884297882538,-4358.295389617462,1243.2249037500005
TH,2025-10-19,-9610.53075,-15418.277,-22816.571797882538,-8019.982889617462,5807.74659375
TH,2025-10-26,-12905.0041,-9421.756,-16820.050313507538,-2023.4614052424622,-3483.248240625
TH,2025-11-02,-5717.82795,-11243.52,-18641.813985382538,-3845.225077117462,5525.69158125
TW,2025-10-12,-28847.53228,-24275.504,-38823.77999332057,-9727.22781917943,-4572.028373749999
TW,2025-10-19,-18814.88896,-23300.656,-37848.93233707057,-8752.38016292943,4485.76729
TW,2025-10-26,-37864.38998,-21933.82,-36482.09639957057,-7385.54422542943,-15930.5696675
TW,2025-11-02,-13459.59754,-24101.809,-38650.08468082057,-9553.53250667943,10642.21105375
VN,2025-10-12,-13568.62369,-7004.335,-14514.297083351968,505.62716147696847,-6564.2887290625
VN,2025-10-19,-15673.3025,-13021.664,-20531.62618491447,-5511.7019400855315,-2651.6384375
VN,2025-10-26,-21355.37938,-8536.551,-16046.512903664468,-1026.5886588355315,-12818.828598749998
VN,2025-11-02,-5891.50573,-12860.19,-20370.15255210197,-5350.2283072730315,6968.6846996875
