Week_Ending_Date,Predicted_Cash_Flow,Prediction_Lower_95CI,Prediction_Upper_95CI,Country,Target,Horizon
2025-11-09,-17370.096,-25849.554133620746,-8890.637272629252,ID,Net_Cash_Flow,1_month
2025-11-16,-14572.025,-23051.483821120746,-6092.566960129252,ID,Net_Cash_Flow,1_month
2025-11-23,-13617.112,-22096.570735183246,-5137.653874191752,ID,Net_Cash_Flow,1_month
2025-11-30,-14465.956,-22945.414485183246,-5986.497624191752,ID,Net_Cash_Flow,1_month
2025-11-09,-17370.096,-25849.554133620746,-8890.637272629252,ID,Net_Cash_Flow,6_month
2025-11-16,-14572.025,-23051.483821120746,-6092.566960129252,ID,Net_Cash_Flow,6_month
2025-11-23,-13617.112,-22096.570735183246,-5137.653874191752,ID,Net_Cash_Flow,6_month
2025-11-30,-14465.956,-22945.414485183246,-5986.497624191752,ID,Net_Cash_Flow,6_month
2025-12-07,-13326.511,-21805.969172683246,-4847.052311691752,ID,Net_Cash_Flow,6_month
2025-12-14,-16854.92,-25334.378352370746,-8375.461491379252,ID,Net_Cash_Flow,6_month
2025-12-21,-14107.772,-22587.230891433246,-5628.314030441752,ID,Net_Cash_Flow,6_month
2025-12-28,-14439.849,-22919.307063308246,-5960.390202316752,ID,Net_Cash_Flow,6_month
2026-01-04,-14466.467,-22945.925227370746,-5987.008366379252,ID,Net_Cash_Flow,6_month
2026-01-11,-14591.627,-23071.085383620746,-6112.168522629252,ID,Net_Cash_Flow,6_month
2026-01-18,-15275.194,-23754.652766433246,-6795.735905441752,ID,Net_Cash_Flow,6_month
2026-01-25,-14265.688,-22745.146907058246,-5786.230046066752,ID,Net_Cash_Flow,6_month
2026-02-01,-14688.475,-23167.933039870746,-6209.016178879252,ID,Net_Cash_Flow,6_month
2026-02-08,-14752.46,-23231.918391433246,-6273.001530441752,ID,Net_Cash_Flow,6_month
2026-02-15,-14932.449,-23411.907649245746,-6452.990788254252,ID,Net_Cash_Flow,6_month
2026-02-22,-14888.951,-23368.409602370746,-6409.492741379252,ID,Net_Cash_Flow,6_month
2026-03-01,-14951.172,-23430.630305495746,-6471.713444504252,ID,Net_Cash_Flow,6_month
2026-03-08,-15015.594,-23495.052180495746,-6536.135319504252,ID,Net_Cash_Flow,6_month
2026-03-15,-15080.158,-23559.616633620746,-6600.699772629252,ID,Net_Cash_Flow,6_month
2026-03-22,-15144.839,-23624.297297683246,-6665.380436691752,ID,Net_Cash_Flow,6_month
2026-03-29,-15209.617,-23689.075617995746,-6730.158757004252,ID,Net_Cash_Flow,6_month
2026-04-05,-15274.498,-23753.956477370746,-6795.039616379252,ID,Net_Cash_Flow,6_month
2026-04-12,-14939.572,-23419.030696120746,-6460.113835129252,ID,Net_Cash_Flow,6_month
