Country,Week_Ending_Date,Actual_Cash_Flow,Predicted_Cash_Flow,Prediction_Lower_95CI,Prediction_Upper_95CI,Error
ID,2025-10-12,-13601.80282,-14601.42,-29364.748533570568,161.90853357056767,999.6171799999993
ID,2025-10-19,-13300.84675,-14601.42,-29364.748533570568,161.90853357056767,1300.5732499999995
ID,2025-10-26,-18561.71174,-14601.42,-29364.748533570568,161.90853357056767,-3960.2917399999988
ID,2025-11-02,-9379.78894,-14601.42,-29364.748533570568,161.90853357056767,5221.63106
KR,2025-10-12,-20908.66286,-1385.14284,-22277.263093489346,19506.977413489345,-19523.52002
KR,2025-10-19,-18209.94343,-1385.14284,-22277.263093489346,19506.977413489345,-16824.80059
KR,2025-10-26,-20502.86977,-1385.14284,-22277.263093489346,19506.977413489345,-19117.72693
KR,2025-11-02,-935.63669,-1385.14284,-22277.263093489346,19506.977413489345,449.50614999999993
MY,2025-10-12,-10106.65378,-9920.00792,-18376.039217899488,-1463.976622100512,-186.64586000000054
MY,2025-10-19,-7329.2836,-9920.00792,-18376.039217899488,-1463.976622100512,2590.7243200000003
MY,2025-10-26,-10368.06258,-9920.00792,-18376.039217899488,-1463.976622100512,-448.0546599999998
MY,2025-11-02,-5634.97732,-9920.00792,-18376.039217899488,-1463.976622100512,4285.0306
PH,2025-10-12,-8338.76997,-15955.67696,-24965.252491292107,-6946.101428707894,7616.906990000001
PH,2025-10-19,-11727.80566,-15955.67696,-24965.252491292107,-6946.101428707894,4227.871300000001
PH,2025-10-26,-17057.69606,-15955.67696,-24965.252491292107,-6946.101428707894,-1102.0190999999977
PH,2025-11-02,-8459.64974,-15955.67696,-24965.252491292107,-6946.101428707894,7496.02722
SS,2025-10-12,-3495.63006,-994.04599,-4472.841614965041,2484.749634965041,-2501.58407
SS,2025-10-19,-1291.26988,-994.04599,-4472.841614965041,2484.749634965041,-297.2238900000001
SS,2025-10-26,-1856.43861,-994.04599,-4472.841614965041,2484.749634965041,-862.39262
SS,2025-11-02,-598.98635,-994.04599,-4472.841614965041,2484.749634965041,395.05963999999994
TH,2025-10-12,-10513.36494,-9703.31745,-22481.779052883317,3075.1441528833166,-810.047489999999
TH,2025-10-19,-9610.53075,-9703.31745,-22481.779052883317,3075.1441528833166,92.78670000000056
TH,2025-10-26,-12905.0041,-9703.31745,-22481.779052883317,3075.1441528833166,-3201.6866499999996
TH,2025-11-02,-5717.82795,-9703.31745,-22481.779052883317,3075.1441528833166,3985.4895000000006
TW,2025-10-12,-28847.53228,-15579.69849,-37923.80910193852,6764.412121938518,-13267.833789999999
TW,2025-10-19,-18814.88896,-15579.69849,-37923.80910193852,6764.412121938518,-3235.1904699999996
TW,2025-10-26,-37864.38998,-15579.69849,-37923.80910193852,6764.412121938518,-22284.691489999997
TW,2025-11-02,-13459.59754,-15579.69849,-37923.80910193852,6764.412121938518,2120.10095
VN,2025-10-12,-13568.62369,-14719.17205,-27214.583872264004,-2223.7602277359965,1150.5483599999989
VN,2025-10-19,-15673.3025,-14719.17205,-27214.583872264004,-2223.7602277359965,-954.1304500000006
VN,2025-10-26,-21355.37938,-14719.17205,-27214.583872264004,-2223.7602277359965,-6636.207329999999
VN,2025-11-02,-5891.50573,-14719.17205,-27214.583872264004,-2223.7602277359965,8827.66632
