Week_Ending_Date,Predicted_Cash_Flow,Prediction_Lower_95CI,Prediction_Upper_95CI,Country,Target,Horizon
2025-11-09,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,1_month
2025-11-16,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,1_month
2025-11-23,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,1_month
2025-11-30,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,1_month
2025-11-09,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2025-11-16,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2025-11-23,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2025-11-30,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2025-12-07,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2025-12-14,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2025-12-21,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2025-12-28,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-01-04,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-01-11,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-01-18,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-01-25,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-02-01,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-02-08,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-02-15,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-02-22,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-03-01,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-03-08,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-03-15,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-03-22,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-03-29,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-04-05,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-04-12,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-04-19,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-04-26,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2026-05-03,-9379.78894,-23759.582395896712,5000.004515896711,ID,Net_Cash_Flow,6_month
2025-11-09,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,1_month
2025-11-16,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,1_month
2025-11-23,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,1_month
2025-11-30,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,1_month
2025-11-09,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2025-11-16,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2025-11-23,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2025-11-30,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2025-12-07,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2025-12-14,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2025-12-21,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2025-12-28,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-01-04,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-01-11,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-01-18,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-01-25,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-02-01,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-02-08,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-02-15,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-02-22,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-03-01,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-03-08,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-03-15,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-03-22,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-03-29,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-04-05,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-04-12,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-04-19,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-04-26,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2026-05-03,-935.63669,-22573.769207497306,20702.495827497307,KR,Net_Cash_Flow,6_month
2025-11-09,-5634.97732,-13880.953839485088,2610.999199485088,MY,Net_Cash_Flow,1_month
2025-11-16,-5634.97732,-13880.953839485088,2610.999199485088,MY,Net_Cash_Flow,1_month
2025-11-23,-5634.97732,-13880.953839485088,2610.999199485088,MY,Net_Cash_Flow,1_month
2025-11-30,-5634.97732,-13880.953839485088,2610.999199485088,MY,Net_Cash_Flow,1_month
2025-11-09,-5634.97732,-13880.953839485088,2610.999199485088,MY,Net_Cash_Flow,6_month
2025-11-16,-5634.97732,-13880.953839485088,2610.999199485088,MY,Net_Cash_Flow,6_month
2025-11-23,-5634.97732,-13880.953839485088,2610.999199485088,MY,Net_Cash_Flow,6_month
2025-11-30,-5634.97732,-13880.953839485088,2610.999199485088,MY,Net_Cash_Flow,6_month
2025-12-07,-5634.97732,-13880.953839485088,2610.999199485088,MY,Net_Cash_Flow,6_month
2025-12-14,-5634.97732,-13880.953839485088,2610.999199485088,MY,Net_Cash_Flow,6_month
2025-12-21,-5634.97732,-13880.953839485088,2610.999199485088,MY,Net_Cash_Flow,6_month
2025-12-28,-5634.97732,-13880.953839485088,2610.999199485088,MY,Net_Cash_Flow,6_month
